entry_id,entry_name,deepest_tag,PROPOSED_tip,PROPOSED_reason,CONFIRMED,CODE,CODER
2322,الدّولة الأمويّة في المشرق  بين662 م و750م (The Umayyad State in the Mashriq from 662 to 750),Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2324,"Justice and Development Party (PJD), Morocco",Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2331,الدولة العباسيبّة في المشرق  من 750 م الى 1517 م (The Abbasid State in the Mashriq from 750 to 1517),Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2363,"L'ordre Soufi Tunisien ""al-Hasaniyya"" الطريقة الحسنية التونسية",Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2365,Moriscos,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2369,Le Mouvement Sanussiyya الحركة السنوسيّة,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2567,Zahiriyyah [in the Iberian Peninsula],Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
422,Demeter Cult,Attic,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
948,Christianity in Ephesus,Attic,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
941,Chan Buddhists in early Qing period,Classical-Middle-Modern Sinitic,ST.CHINESE.MIDDLE_CHINESE,confirm coding,,,
1038,Sino-Muslims in Qing China,Classical-Middle-Modern Sinitic,ST.CHINESE.MIDDLE_CHINESE,confirm coding,,,
1140,Early Medieval Confucianism,Classical-Middle-Modern Sinitic,ST.CHINESE.MIDDLE_CHINESE,confirm coding,,,
1162,Lingbao dafa,Classical-Middle-Modern Sinitic,ST.CHINESE.MIDDLE_CHINESE,confirm coding,,,
1291,Mañjuśrī Devotionalism,Classical-Middle-Modern Sinitic,ST.CHINESE.MIDDLE_CHINESE,confirm coding,,,
2233,The Way of Former Heaven (Xiantiandao 先天道),Classical-Middle-Modern Sinitic,ST.CHINESE.MIDDLE_CHINESE,confirm coding,,,
2283,Ge Hong 葛洪 and Outer Alchemy 外丹,Classical-Middle-Modern Sinitic,ST.CHINESE.MIDDLE_CHINESE,confirm coding,,,
2321,Falungong 法輪功 (Falun Gong) / Falun Dafa 法輪大法,Classical-Middle-Modern Sinitic,ST.CHINESE.MIDDLE_CHINESE,confirm coding,,,
2328,Church of Almighty God (Quannengshen jiaohui 全能神教會) / Eastern Lightning (Dongfang shandian 東方閃電),Classical-Middle-Modern Sinitic,ST.CHINESE.MIDDLE_CHINESE,confirm coding,,,
470,Archaic Spartan Cults,Doric,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
957,Spartan Religion,Doric,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
1983,Early Byzantine Asceticism,Greek,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
1993,Ancient Boeotians,Greek,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
2009,Ancient Arcadians,Greek,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
2010,Bektashi Tarika,Greek,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
2160,Manichaeans,Greek,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
2244,"Catholicism in the Latin Empire, Catholicism in the Eastern Roman Empire (Byzantium), the Latin Patriarchate of Constantinople",Greek,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
2420,Evangelistria of Kipseli Arta,Greek,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
2429,Vyliza Monastery,Greek,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
2433,Hellenistic Religion in the Seleucid Empire,Greek,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
2445,Priesthoods in Ptolemaic Thebes (Luxor),Greek,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
1396,Ptolemaic Egypt - Egyptian Religion,Koineic Greek,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
607,Mohism,Literary Chinese,ST.CHINESE.MIDDLE_CHINESE,confirm coding,,,
1400,The Buddhist Nuns of 4th - 6th century China,Literary Chinese,ST.CHINESE.MIDDLE_CHINESE,confirm coding,,,
2490,Wu Zetian's State Buddhism,Literary Chinese,ST.CHINESE.MIDDLE_CHINESE,confirm coding,,,
974,"Greek Chalcedonian Christians, Nicaea",Medieval Greek,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
1415,Anomeans,Medieval Greek,IE.GREEK.GREEK_ANCIENT,confirm coding,,,
2320,Sanjiejiao (三階教),Sinitic,ST.CHINESE.MIDDLE_CHINESE,confirm coding,,,
2325,"Outer alchemy (外丹, waidan)",Sinitic,ST.CHINESE.MIDDLE_CHINESE,confirm coding,,,
2496,Vietnamese popular religion,Viet-Muong,AuA.VIET_MUONG.VIETNAMESE,confirm coding,,,
2051,Tibeto-Vietnamese Đạo Mẫu,Vietic,AuA.VIET_MUONG.VIETNAMESE,confirm coding,,,
1820,"Cherubim and Seraphim Church Unification, Campus Fellowship",Yoruba; English,NC.DEFOID.YORUBA,confirm coding,,,
1829,Cherubim and Seraphim Unification Church of Nigeria (C&SUCN),Yoruba; English,NC.DEFOID.YORUBA,confirm coding,,,
1835,"The Cherubim and Seraphim Church of Zion, Ugbonla",Yoruba; English,NC.DEFOID.YORUBA,confirm coding,,,
2111,Tsinburbura Traditional Religion,Afro-Asiatic,,needs expert: find family,,,
2279,The Ndau people of Chimanimani area in Zimbabwe,Afro-Asiatic,,needs expert: find family,,,
1972,Shepherding Movement,Classical Indo-European,,needs expert: find family,,,
1989,Iron Age Celtic Spain and Portugal (Celtiberia),Indo-European,,needs expert: find family,,,
2273,Yuan divination schools,Sino-Tibetan,,needs expert: find family,,,
2214,Tiwanaku Religion,Aymaran,,needs expert: find nearest available tip,,,
850,Pre-Christian Religion / Paganism in Gaul,Cisalpine Gaulish,,needs expert: find nearest available tip,,,
2240,"Inka and non-Inka groups in Cusco, Peru",Cuscan Quechua,,needs expert: find nearest available tip,,,
520,Cham Ahiér,Haroi,,needs expert: find nearest available tip,,,
752,Haroi,Haroi,,needs expert: find nearest available tip,,,
1938,Bahai religion,Iranian ,,needs expert: find nearest available tip,,,
1409,Formative Olmec,Mixe-Zoque,,needs expert: find nearest available tip,,,
2371,Tewa Pueblo Religion,Tewa,,needs expert: find nearest available tip,,,
2341,The Totonacapan Culture-Religion,Totonac,,needs expert: find nearest available tip,,,
2346,Igbo Traditional Religion,Pidgin,,cannot be rescued,,,
1734,Cupisnique Culture Religion,Unknown,,cannot be rescued,,,
2038,"Cathars, Catharism, Albigenses, Albigensians, Cathari, Catharistae, ""Pure Christians""",Unknown,,cannot be rescued,,,
2286,Religious Practices of the Valdivians during Ecuador's Early Formative Period,Unknown,,cannot be rescued,,,
2344,Sican Culture religion,Unknown,,cannot be rescued,,,
2418,Nasca Culture Religion,Unknown,,cannot be rescued,,,
