entry_id,entrytag_id,entrytag_name,entrytag_level,entrytag_path,parent_entrytag_id
176,12891,Central Eastern Aramaic,11,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970]->Middle-Modern Aramaic[11126]->Eastern Aramaic[12053]->Central Eastern Aramaic[12891],12053.0
176,8598,Aramaic,7,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598],7096.0
176,3237,Semitic,3,Language[1747]->Afro-Asiatic[1977]->Semitic[3237],1977.0
176,11126,Middle-Modern Aramaic,9,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970]->Middle-Modern Aramaic[11126],9970.0
176,12053,Eastern Aramaic,10,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970]->Middle-Modern Aramaic[11126]->Eastern Aramaic[12053],11126.0
176,14063,Jewish Babylonian Aramaic (ca. 200-1200 CE),13,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970]->Middle-Modern Aramaic[11126]->Eastern Aramaic[12053]->Central Eastern Aramaic[12891]->North-Eastern Neo-Aramaic[13595]->Jewish Babylonian Aramaic (ca. 200-1200 CE)[14063],13595.0
176,36477,Biblical Hebrew,10,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Canaanite[8597]->Hebrewic[9968]->Ancient Hebrew[11121]->Biblical Hebrew[36477],11121.0
176,27,Jewish Traditions,2,Religious Group[8]->Jewish Traditions[27],8.0
176,8597,Canaanite,7,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Canaanite[8597],7096.0
176,9968,Hebrewic,8,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Canaanite[8597]->Hebrewic[9968],8597.0
176,4434,West Semitic,4,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434],3237.0
176,13595,North-Eastern Neo-Aramaic,12,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970]->Middle-Modern Aramaic[11126]->Eastern Aramaic[12053]->Central Eastern Aramaic[12891]->North-Eastern Neo-Aramaic[13595],12891.0
176,5695,Central Semitic,5,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695],4434.0
176,743,Late Second Temple Judaism,3,Religious Group[8]->Jewish Traditions[27]->Late Second Temple Judaism[743],27.0
176,1977,Afro-Asiatic,2,Language[1747]->Afro-Asiatic[1977],1747.0
176,8,Religious Group,1,Religious Group[8],
176,7096,Northwest Semitic,6,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096],5695.0
176,9970,Imperial-Middle-Modern Aramaic,8,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970],8598.0
177,741,Hellenistic Religions,2,Religious Group[8]->Hellenistic Religions[741],8.0
177,30702,Koineic Greek,7,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->East Greek[29393]->Koineic Greek[30702],29393.0
177,8,Religious Group,1,Religious Group[8],
177,742,Early Christianity,3,Religious Group[8]->Christian Traditions[18]->Early Christianity[742],18.0
177,743,Late Second Temple Judaism,3,Religious Group[8]->Jewish Traditions[27]->Late Second Temple Judaism[743],27.0
177,1904,Indo-European,2,Language[1747]->Indo-European[1904],1747.0
177,5341,Greek,5,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341],4027.0
177,29393,East Greek,6,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->East Greek[29393],5341.0
177,18,Christian Traditions,2,Religious Group[8]->Christian Traditions[18],8.0
177,27,Jewish Traditions,2,Religious Group[8]->Jewish Traditions[27],8.0
177,4027,Graeco-Phrygian,4,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027],2479.0
177,2479,Classical Indo-European,3,Language[1747]->Indo-European[1904]->Classical Indo-European[2479],1904.0
178,3038,Sinitic,3,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038],1946.0
178,28608,Late Han Chinese,5,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344]->Late Han Chinese[28608],4344.0
178,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
178,4344,Old Chinese,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344],3038.0
178,126,Chinese Common Religions,3,Religious Group[8]->Chinese Religion[123]->Chinese Common Religions[126],123.0
178,4342,Classical-Middle-Modern Sinitic,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342],3038.0
178,128,Chinese State Religion,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],123.0
178,5612,Literary Chinese,5,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342]->Literary Chinese[5612],4342.0
178,1946,Sino-Tibetan,2,Language[1747]->Sino-Tibetan[1946],1747.0
178,8,Religious Group,1,Religious Group[8],
180,128,Chinese State Religion,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],123.0
180,8,Religious Group,1,Religious Group[8],
180,127,Chinese Folk Religions,3,Religious Group[8]->Chinese Religion[123]->Chinese Folk Religions[127],123.0
180,1946,Sino-Tibetan,2,Language[1747]->Sino-Tibetan[1946],1747.0
180,4344,Old Chinese,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344],3038.0
180,3038,Sinitic,3,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038],1946.0
180,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
182,1941,Bookkeeping,2,Language[1747]->Bookkeeping[1941],1747.0
182,22,Greek Religions,2,Religious Group[8]->Greek Religions[22],8.0
182,42,Roman Religious Traditions,2,Religious Group[8]->Roman Religious Traditions[42],8.0
182,2665,Old Turkish,3,Language[1747]->Bookkeeping[1941]->Old Turkish[2665],1941.0
182,1904,Indo-European,2,Language[1747]->Indo-European[1904],1747.0
182,8,Religious Group,1,Religious Group[8],
182,30700,Ancient Greek,7,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->East Greek[29393]->Ancient Greek[30700],29393.0
182,5341,Greek,5,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341],4027.0
182,730,Ancient Christianity in Rome,3,Religious Group[8]->Roman Religious Traditions[42]->Ancient Christianity in Rome[730],42.0
182,2479,Classical Indo-European,3,Language[1747]->Indo-European[1904]->Classical Indo-European[2479],1904.0
182,4027,Graeco-Phrygian,4,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027],2479.0
182,29393,East Greek,6,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->East Greek[29393],5341.0
182,18,Christian Traditions,2,Religious Group[8]->Christian Traditions[18],8.0
184,5613,Middle-Modern Sinitic,5,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342]->Middle-Modern Sinitic[5613],4342.0
184,65,Chinese Buddhist Traditions,3,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65],14.0
184,4342,Classical-Middle-Modern Sinitic,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342],3038.0
184,7037,Middle Chinese,6,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342]->Middle-Modern Sinitic[5613]->Middle Chinese[7037],5613.0
184,8,Religious Group,1,Religious Group[8],
184,1946,Sino-Tibetan,2,Language[1747]->Sino-Tibetan[1946],1747.0
184,14,Buddhist Traditions,2,Religious Group[8]->Buddhist Traditions[14],8.0
184,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
184,3038,Sinitic,3,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038],1946.0
185,1840,Ainu,2,Language[1747]->Ainu[1840],1747.0
185,2444,Japanesic,3,Language[1747]->Japonic[1889]->Japanesic[2444],1889.0
185,3888,Kagoshima,4,Language[1747]->Japonic[1889]->Japanesic[2444]->Kagoshima[3888],2444.0
185,29348,Western Japanese,6,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Western Japanese[29348],5264.0
185,30628,Hōnichi,7,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Kyūshū[29346]->Hōnichi[30628],29346.0
185,30632,Umpaku,7,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Western Japanese[29348]->Umpaku[30632],29348.0
185,368,Shintō,3,Religious Group[8]->Japanese Religions[26]->Shintō[368],26.0
185,370,New Religious Movements,4,Religious Group[8]->Japanese Religions[26]->Shintō[368]->New Religious Movements[370],368.0
185,3677,Hokkaido Ainu,4,Language[1747]->Ainu[1840]->Hokkaido-Kuril Ainu[2288]->Hokkaido Ainu[3677],2288.0
185,29346,Kyūshū,6,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Kyūshū[29346],5264.0
185,30630,Hichiku,7,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Kyūshū[29346]->Hichiku[30630],29346.0
185,30634,Kinki,7,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Western Japanese[29348]->Kinki[30634],29348.0
185,30636,Kantō,7,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Eastern Japanese[29349]->Kantō[30636],29349.0
185,30638,Tōhoku,7,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Eastern Japanese[29349]->Tōhoku[30638],29349.0
185,2288,Hokkaido-Kuril Ainu,3,Language[1747]->Ainu[1840]->Hokkaido-Kuril Ainu[2288],1840.0
185,29349,Eastern Japanese,6,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Eastern Japanese[29349],5264.0
185,30635,Hokuriku,7,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Western Japanese[29348]->Hokuriku[30635],29348.0
185,43152,Hokkaido,5,Language[1747]->Ainu[1840]->Hokkaido-Kuril Ainu[2288]->Hokkaido Ainu[3677]->Hokkaido[43152],3677.0
185,30633,Shikoku,7,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Western Japanese[29348]->Shikoku[30633],29348.0
185,30631,Chūgoku,7,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Western Japanese[29348]->Chūgoku[30631],29348.0
185,8,Religious Group,1,Religious Group[8],
185,26,Japanese Religions,2,Religious Group[8]->Japanese Religions[26],8.0
185,297,Shintō,2,Religious Group[8]->Shintō[297],8.0
185,5264,Japanese,5,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264],3890.0
185,398,New Religious Movements,3,Religious Group[8]->Shintō[297]->New Religious Movements[398],297.0
185,1889,Japonic,2,Language[1747]->Japonic[1889],1747.0
185,3890,Japan-Taiwan Japanese,4,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890],2444.0
186,5613,Middle-Modern Sinitic,5,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342]->Middle-Modern Sinitic[5613],4342.0
186,8,Religious Group,1,Religious Group[8],
186,65,Chinese Buddhist Traditions,3,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65],14.0
186,4342,Classical-Middle-Modern Sinitic,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342],3038.0
186,7035,Wu-Hui Chinese,6,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342]->Middle-Modern Sinitic[5613]->Wu-Hui Chinese[7035],5613.0
186,8558,Wu Chinese,7,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342]->Middle-Modern Sinitic[5613]->Wu-Hui Chinese[7035]->Wu Chinese[8558],7035.0
186,1946,Sino-Tibetan,2,Language[1747]->Sino-Tibetan[1946],1747.0
186,383,Chinese Buddhist Traditions,3,Religious Group[8]->Chinese Religion[123]->Chinese Buddhist Traditions[383],123.0
186,3038,Sinitic,3,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038],1946.0
186,14,Buddhist Traditions,2,Religious Group[8]->Buddhist Traditions[14],8.0
186,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
187,4344,Old Chinese,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344],3038.0
187,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
187,3038,Sinitic,3,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038],1946.0
187,1946,Sino-Tibetan,2,Language[1747]->Sino-Tibetan[1946],1747.0
187,129,Shang Religion / Western Zhou Religion,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Shang Religion / Western Zhou Religion[129],128.0
187,128,Chinese State Religion,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],123.0
187,8,Religious Group,1,Religious Group[8],
189,5695,Central Semitic,5,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695],4434.0
189,8,Religious Group,1,Religious Group[8],
189,9968,Hebrewic,8,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Canaanite[8597]->Hebrewic[9968],8597.0
189,4434,West Semitic,4,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434],3237.0
189,7096,Northwest Semitic,6,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096],5695.0
189,1977,Afro-Asiatic,2,Language[1747]->Afro-Asiatic[1977],1747.0
189,8597,Canaanite,7,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Canaanite[8597],7096.0
189,27,Jewish Traditions,2,Religious Group[8]->Jewish Traditions[27],8.0
189,3237,Semitic,3,Language[1747]->Afro-Asiatic[1977]->Semitic[3237],1977.0
189,36477,Biblical Hebrew,10,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Canaanite[8597]->Hebrewic[9968]->Ancient Hebrew[11121]->Biblical Hebrew[36477],11121.0
189,11121,Ancient Hebrew,9,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Canaanite[8597]->Hebrewic[9968]->Ancient Hebrew[11121],9968.0
190,12845,Tamiloid,11,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382]->Tamil-Kota[6773]->Tamil-Toda[8325]->Tamil-Irula[9751]->Tamil-Kodagu[10977]->Tamil-Malayalam[11959]->Tamiloid[12845],11959.0
190,32570,Sinhala,8,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Dhivehi-Sinhala[29410]->Sinhalaic[30774]->Sinhala[32570],30774.0
190,30774,Sinhalaic,7,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Dhivehi-Sinhala[29410]->Sinhalaic[30774],29410.0
190,29410,Dhivehi-Sinhala,6,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Dhivehi-Sinhala[29410],5357.0
190,6773,Tamil-Kota,6,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382]->Tamil-Kota[6773],5382.0
190,2479,Classical Indo-European,3,Language[1747]->Indo-European[1904]->Classical Indo-European[2479],1904.0
190,14,Buddhist Traditions,2,Religious Group[8]->Buddhist Traditions[14],8.0
190,14047,Tamil,13,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382]->Tamil-Kota[6773]->Tamil-Toda[8325]->Tamil-Irula[9751]->Tamil-Kodagu[10977]->Tamil-Malayalam[11959]->Tamiloid[12845]->Tamil-Paliyan[13570]->Tamil[14047],13570.0
190,11959,Tamil-Malayalam,10,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382]->Tamil-Kota[6773]->Tamil-Toda[8325]->Tamil-Irula[9751]->Tamil-Kodagu[10977]->Tamil-Malayalam[11959],10977.0
190,9714,Sinhalaic,8,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Dhivehi-Sinhala[8296]->Sinhalaic[9714],8296.0
190,5382,Tamil-Kannada,5,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382],4058.0
190,5357,Indo-Aryan,5,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357],4034.0
190,4058,South Dravidian I,4,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058],2492.0
190,2492,South Dravidian,3,Language[1747]->Dravidian[1908]->South Dravidian[2492],1908.0
190,10977,Tamil-Kodagu,9,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382]->Tamil-Kota[6773]->Tamil-Toda[8325]->Tamil-Irula[9751]->Tamil-Kodagu[10977],9751.0
190,10936,Sinhala,9,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Dhivehi-Sinhala[8296]->Sinhalaic[9714]->Sinhala[10936],9714.0
190,9751,Tamil-Irula,8,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382]->Tamil-Kota[6773]->Tamil-Toda[8325]->Tamil-Irula[9751],8325.0
190,8325,Tamil-Toda,7,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382]->Tamil-Kota[6773]->Tamil-Toda[8325],6773.0
190,8296,Dhivehi-Sinhala,7,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Dhivehi-Sinhala[8296],6751.0
190,6751,Middle-Modern Indo-Aryan,6,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751],5357.0
190,4034,Indo-Iranian,4,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034],2479.0
190,1904,Indo-European,2,Language[1747]->Indo-European[1904],1747.0
190,8,Religious Group,1,Religious Group[8],
190,13570,Tamil-Paliyan,12,Language[1747]->Dravidian[1908]->South Dravidian[2492]->South Dravidian I[4058]->Tamil-Kannada[5382]->Tamil-Kota[6773]->Tamil-Toda[8325]->Tamil-Irula[9751]->Tamil-Kodagu[10977]->Tamil-Malayalam[11959]->Tamiloid[12845]->Tamil-Paliyan[13570],12845.0
190,1908,Dravidian,2,Language[1747]->Dravidian[1908],1747.0
191,35896,Saraiki,10,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406]->Sindhi-Lahnda[30754]->Lahnda[32525]->Siraikic[34110]->Saraiki[35896],34110.0
191,35890,Powadhi,10,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406]->Sindhi-Lahnda[30754]->Eastern Panjabic[32524]->Eastern Panjabi[34108]->Powadhi[35890],34108.0
191,34113,Western Panjabi,9,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406]->Sindhi-Lahnda[30754]->Lahnda[32525]->Western Panjabi[34113],32525.0
191,32525,Lahnda,8,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406]->Sindhi-Lahnda[30754]->Lahnda[32525],30754.0
191,32584,Unclassified Tharu,8,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Bihari[29412]->Tharuic[30779]->Unclassified Tharu[32584],30779.0
191,34110,Siraikic,9,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406]->Sindhi-Lahnda[30754]->Lahnda[32525]->Siraikic[34110],32525.0
191,30766,Central Pahari,7,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northern zone[29408]->Central Pahari[30766],29408.0
191,29406,Indo-Aryan Northwestern zone,6,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406],5357.0
191,9715,Indo-Aryan Northwestern zone,8,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Northwestern zone[9715],8297.0
191,32524,Eastern Panjabic,8,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Indo-Aryan Northwestern zone[29406]->Sindhi-Lahnda[30754]->Eastern Panjabic[32524],30754.0
191,11897,Greater Panjabic,10,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751]->Continental Indo-Aryan[8297]->Indo-Aryan Northwestern zone[9715]->Sindhi-Lahnda[10938]->Greater Panjabic[11897],10938.0
191,6751,Middle-Modern Indo-Aryan,6,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Middle-Modern Indo-Aryan[6751],5357.0
191,4034,Indo-Iranian,4,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034],2479.0
191,1904,Indo-European,2,Language[1747]->Indo-European[1904],1747.0
191,8,Religious Group,1,Religious Group[8],
191,34286,Majhi,9,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Indo-Iranian[4034]->Indo-Aryan[5357]->Bihari[29412]->Tharuic[30779]->Unclassified Tharu[32584]->Majhi[34286],32584.0
191,2479,Classical Indo-European,3,Language[1747]->Indo-European[1904]->Classical Indo-European[2479],1904.0
