entry_id,entry_name,question_id,question_name,answer,answer_value
935,Nigerian Pentecostalism,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
941,Chan Buddhists in early Qing period,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
941,Chan Buddhists in early Qing period,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
976,Mising Community,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
976,Mising Community,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
980,Pure Land Buddhist Schools in Early Medieval Japan,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
980,Pure Land Buddhist Schools in Early Medieval Japan,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
988,Churches of Christ- United States,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
988,Churches of Christ- United States,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
991,Beat Buddhism,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
991,Beat Buddhism,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1109,Chan Buddhism in the Song,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1109,Chan Buddhism in the Song,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1136,The Fellowship of Goodness 同善社 (Tongshanshe),5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1136,The Fellowship of Goodness 同善社 (Tongshanshe),5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1156,Solovetski monastery,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1156,Solovetski monastery,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1218,Yiguan Dao/I-Kuan Tao 一貫道,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1218,Yiguan Dao/I-Kuan Tao 一貫道,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1334,No-debt Movement in US Evangelicalism,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1334,No-debt Movement in US Evangelicalism,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1340,International Sivananda Yoga Vedanta Centers,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1340,International Sivananda Yoga Vedanta Centers,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1456,Religion in the Middle Bronze Age / Canaan,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1456,Religion in the Middle Bronze Age / Canaan,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1529,Byzantine Iconoclasts (726-787 CE),5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1529,Byzantine Iconoclasts (726-787 CE),5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1619,"Saint Nicholas ""Maroulenas"", Kastania, southern Greece, byzantine church",5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1619,"Saint Nicholas ""Maroulenas"", Kastania, southern Greece, byzantine church",5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1740,The Canterbury School of Theodore of Tarsus and Hadrian the North African,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1740,The Canterbury School of Theodore of Tarsus and Hadrian the North African,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1872,"The Holy Apostles Community, Ayetoro",5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1872,"The Holy Apostles Community, Ayetoro",5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1903,The 'Abbāsids,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1903,The 'Abbāsids,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1918,Contemporary Neo-Confucianism 當代新儒家,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1918,Contemporary Neo-Confucianism 當代新儒家,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1938,Bahai religion,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1938,Bahai religion,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1958,The Apostolic Faith Mission in Zimbabwe,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1958,The Apostolic Faith Mission in Zimbabwe,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1962,Huayan School 華嚴宗,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1962,Huayan School 華嚴宗,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1972,Shepherding Movement,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1972,Shepherding Movement,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1978,"The Dharmalakshana Buddhist Institute 佛教法相學會, Hong Kong",5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1978,"The Dharmalakshana Buddhist Institute 佛教法相學會, Hong Kong",5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1983,Early Byzantine Asceticism,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
1983,Early Byzantine Asceticism,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
2003,Nigerian Baptist Convention,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
2003,Nigerian Baptist Convention,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
2084,MAITATSINE: NIGERIA'S BLOODY RELIGIOUS TERRORIST MOVEMENT,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
2084,MAITATSINE: NIGERIA'S BLOODY RELIGIOUS TERRORIST MOVEMENT,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
2233,The Way of Former Heaven (Xiantiandao 先天道),5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
2233,The Way of Former Heaven (Xiantiandao 先天道),5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
2266,Yangsheng Daoism from Laozi to Ge Hong,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
2266,Yangsheng Daoism from Laozi to Ge Hong,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
2273,Yuan divination schools,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
2273,Yuan divination schools,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
