"entry_id","entry_tag","entrytag_id","parent_tag_id","level"
213,Religious Group,8,,1
213,Babi and Baha’i Faiths ,12,8,2
215,Religious Group,8,,1
215,Roman Religious Traditions,42,8,2
215,Roman State Religions,299,42,3
215,Roman Private Religions,736,42,3
215,Roman Domestic Cult,738,736,4
215,Italic Religions,751,8,2
216,Religious Group,8,,1
216,Assyrian Religions,11,8,2
216,Mesopotamian Religions,34,8,2
216,Sumerian Religions,46,8,2
216,Akkadian Religions,330,34,3
216,Babylonian Religions,332,34,3
216,Old Babylonian Religions,333,34,3
217,Religious Group,8,,1
217,Italic Religions,751,8,2
217,Ancient Mediterranean,776,8,2
217,Roman Religions,900,8,2
217,Polytheistic,1300,8,2
218,Religious Group,8,,1
218,Chinese Religion,123,8,2
218,Chinese Common Religions,126,123,3
218,Daoist Traditions,134,123,3
218,Chinese Buddhist Traditions,383,123,3
222,Religious Group,8,,1
222,Mesoamerican Religions,33,8,2
222,Mayan Religions,340,33,3
223,Religious Group,8,,1
223,Chinese Religion,123,8,2
224,Religious Group,8,,1
224,Germanic Religions,21,8,2
225,Religious Group,8,,1
225,Indic Religious Traditions,510,8,2
225,Hinduism,566,510,3
225,Vaiṣṇava Traditions,644,566,4
227,Religious Group,8,,1
227,Indic Religious Traditions,510,8,2
227,Hinduism,566,510,3
227,Hindu Śākta traditions,643,566,4
227,Bhakti traditions,645,566,4
228,Religious Group,8,,1
228,Korean Religions,28,8,2
228,Korean Confucianism,356,28,3
230,Religious Group,8,,1
230,Assyrian Religions,11,8,2
230,Mesopotamian Religions,34,8,2
230,Babylonian Religions,332,34,3
231,Religious Group,8,,1
231,Roman Religious Traditions,42,8,2
231,Roman Private Religions,736,42,3
232,Religious Group,8,,1
232,Egyptian Religions,20,8,2
233,Religious Group,8,,1
233,African Religions,9,8,2
233,Egyptian Religions,20,8,2
234,Religious Group,8,,1
234,African Religions,9,8,2
236,Religious Group,8,,1
236,African Religions,9,8,2
237,Religious Group,8,,1
237,African Religions,9,8,2
238,Religious Group,8,,1
238,African Religions,9,8,2
239,Religious Group,8,,1
239,African Religions,9,8,2
240,Religious Group,8,,1
240,Chinese Religion,123,8,2
240,Chinese State Religion,128,123,3
244,Religious Group,8,,1
244,Japanese Religions,26,8,2
244,Japanese Confucianism,410,26,3
244,Japanese Neo-Confucianism,411,410,4
245,Religious Group,8,,1
245,Chinese Religion,123,8,2
245,Confucian (rujia 儒家) Traditions,131,123,3
245,Pre-Qin Confucian Traditions,132,131,4
246,Religious Group,8,,1
246,African Religions,9,8,2
247,Religious Group,8,,1
247,African Religions,9,8,2
248,Religious Group,8,,1
248,Buddhist Traditions,14,8,2
248,Chinese Buddhist Traditions,65,14,3
248,Chan Buddhism (chan zong 禪宗),66,65,4
249,Religious Group,8,,1
249,Shamanism,904,8,2
250,Religious Group,8,,1
250,Buddhist Traditions,14,8,2
250,Chinese Buddhist Traditions,65,14,3
250,Tiantai school (tiantai zong 天台宗),77,65,4
252,Religious Group,8,,1
252,African Religions,9,8,2
253,Religious Group,8,,1
253,African Religions,9,8,2
255,Religious Group,8,,1
255,Chinese Religion,123,8,2
256,Religious Group,8,,1
256,Roman Religious Traditions,42,8,2
256,Italic Religions,734,42,3
256,Ancient Mediterranean,776,8,2
257,Religious Group,8,,1
257,Mesoamerican Religions,33,8,2
257,Zapotec Religion,498,33,3
258,Religious Group,8,,1
258,Christian Traditions,18,8,2
258,Catholic,153,18,3
258,'Roman' Catholic,156,153,4
258,Reformed/Presbyterian/Congregational/United,181,18,3
263,Religious Group,8,,1
263,Catholic,153,18,3
264,Religious Group,8,,1
264,Christian Traditions,18,8,2
264,Catholic,153,18,3
264,'Roman' Catholic,156,153,4
282,Religious Group,8,,1
282,Christian Traditions,18,8,2
282,Catholic,153,18,3
282,'Roman' Catholic,156,153,4
284,Religious Group,8,,1
284,Oceanic Religions,40,8,2
287,Religious Group,8,,1
287,Mithraism,36,8,2
288,Religious Group,8,,1
288,Mesoamerican Religions,33,8,2
289,Religious Group,8,,1
289,Oceanic Religions,40,8,2
289,Polynesia,315,40,3
294,Religious Group,8,,1
294,Chinese Religion,123,8,2
294,Daoist Traditions,134,123,3
294,Study of the Mysterious (xuanxue 玄學),139,134,4
299,Religious Group,8,,1
299,Chinese Religion,123,8,2
299,Chinese State Religion,128,123,3
299,Shang Religion / Western Zhou Religion,129,128,4
300,Religious Group,8,,1
300,Canaanite Religions,15,8,2
308,Religious Group,8,,1
308,Assyrian Religions,11,8,2
308,Sumerian Religions,46,8,2
309,Religious Group,8,,1
309,Chinese Religion,123,8,2
309,Daoist Traditions,134,123,3
309,Chinese Buddhist Traditions,383,123,3
310,Religious Group,8,,1
310,Native American (North American) Religions,38,8,2
316,Religious Group,8,,1
316,Christian Traditions,18,8,2
316,Catholic,153,18,3
316,'Roman' Catholic,156,153,4
317,Religious Group,8,,1
317,Bön (Tibetan: bon),13,8,2
317,Buddhist Traditions,14,8,2
317,Tibetan Buddhist Traditions,116,14,3
317,Geluk sect (dge lugs),117,116,4
317,Nyingma sect (rnying ma),119,116,4
317,Kagyü sect (bka’ brgyud),120,116,4
317,Sakya sect (sa skya),121,116,4
325,Religious Group,8,,1
325,Chinese Religion,123,8,2
325,Chinese State Religion,128,123,3
325,Han Imperial Confucianism,130,128,4
325,Confucian (rujia 儒家) Traditions,131,123,3
337,Religious Group,8,,1
337,South American Religions,508,8,2
337,Inca Religion,509,508,3
338,Religious Group,8,,1
338,Native American (North American) Religions,38,8,2
338,Kwakiutal Religions,320,38,3
341,Religious Group,8,,1
341,Christian Traditions,18,8,2
342,Religious Group,8,,1
342,Christian Traditions,18,8,2
343,Religious Group,8,,1
343,Oceanic Religions,40,8,2
344,Religious Group,8,,1
348,Religious Group,8,,1
348,Chinese Religion,123,8,2
348,Chinese State Religion,128,123,3
348,Shang Religion / Western Zhou Religion,129,128,4
348,Yellow and Yangzi Rivers Region,1251,8,2
354,Religious Group,8,,1
354,Mesopotamian Religions,34,8,2
354,Babylonian Religions,332,34,3
355,Religious Group,8,,1
355,Christian Traditions,18,8,2
355,Roman Religious Traditions,42,8,2
355,Early Christianity,742,18,3
358,Religious Group,8,,1
358,Indic Religious Traditions,510,8,2
358,Hinduism,566,510,3
358,Vaiṣṇava Traditions,644,566,4
358,Bhakti traditions,645,566,4
358,Gauḍīya Vaiṣṇava Sampradāya (Caitanya Vaiṣṇavism),649,644,5
361,Religious Group,8,,1
361,Greek Religions,22,8,2
361,Greek Polis Religions,744,22,3
362,Religious Group,8,,1
362,Mongolian Religions,37,8,2
362,Mongolian Shamanism,329,37,3
364,Religious Group,8,,1
364,Buddhist Traditions,14,8,2
364,Indic Religious Traditions,510,8,2
365,Religious Group,8,,1
367,Religious Group,8,,1
373,Religious Group,8,,1
373,Christian Traditions,18,8,2
373,Anglican,146,18,3
373,Baptist,149,18,3
374,Religious Group,8,,1
374,Indic Religious Traditions,510,8,2
378,Religious Group,8,,1
378,Vaishnavism,896,8,2
378,Hinduism,1244,8,2
378,Bhakti,1610,8,2
381,Religious Group,8,,1
381,Indic Religious Traditions,510,8,2
381,Sikh traditions,704,510,3
381,Early Panth,779,704,4
383,Religious Group,8,,1
383,Indic Religious Traditions,510,8,2
383,Bhakti traditions,512,510,3
383,Hinduism,566,510,3
386,Religious Group,8,,1
386,Oceanic Religions,40,8,2
386,Polynesia,315,40,3
387,Religious Group,8,,1
387,Islamic Traditions,24,8,2
387,Ahmadiyya,249,24,3
387,Indic Religious Traditions,510,8,2
387,Islamic Traditions,661,510,3
387,Aḥmadī,662,661,4
389,Religious Group,8,,1
389,Southeast Asian Religions,808,8,2
390,Religious Group,8,,1
390,Indic Religious Traditions,510,8,2
390,Bhakti traditions,512,510,3
390,Hinduism,566,510,3
390,Śaiva traditions,621,566,4
390,Liṅgāyat or Vīraśaiva,625,621,5
390,Hindu Tantric traditions,642,566,4
390,Hindu Śākta traditions,643,566,4
390,Modern Hinduism,646,566,4
392,Religious Group,8,,1
392,Indic Religious Traditions,510,8,2
392,Sikh traditions,704,510,3
395,Religious Group,8,,1
395,Indic Religious Traditions,510,8,2
395,Bhakti traditions,512,510,3
395,Hinduism,566,510,3
395,Vaiṣṇava Traditions,644,566,4
395,Modern Hinduism,646,566,4
395,Gauḍīya Vaiṣṇava Sampradāya (Caitanya Vaiṣṇavism),649,644,5
398,Religious Group,8,,1
399,Religious Group,8,,1
399,Christian Traditions,18,8,2
399,Early Christianity,742,18,3
400,Religious Group,8,,1
400,Christian Traditions,18,8,2
400,Pentecostal,180,18,3
400,Evangelical (charismatic),784,18,3
401,Religious Group,8,,1
401,Christian Traditions,18,8,2
401,Evangelical (charismatic),784,18,3
401,New Religious Movement,786,8,2
402,Religious Group,8,,1
402,New Religious Movement,786,8,2
402,UFO Religion,787,8,2
402,New Age Religion,788,8,2
403,Religious Group,8,,1
403,Jewish Traditions,27,8,2
404,Religious Group,8,,1
404,Chinese Religion,123,8,2
404,Daoist Traditions,134,123,3
404,'Highest Clarity' (shangqing 上清),137,134,4
406,Religious Group,8,,1
406,Chinese Religion,123,8,2
406,Daoist Traditions,134,123,3
406,Celestial Masters (tianshi dao 天師道)/Way of Orthodox Unity (zhengyi dao 正一道),136,134,4
408,Asia,2,7,2
408,Polity,7,,1
409,Asia,2,7,2
409,China,3,2,3
409,Polity,7,,1
410,Middle East,4,7,2
410,Polity,7,,1
411,Asia,2,7,2
411,China,3,2,3
411,Polity,7,,1
412,Asia,2,7,2
412,China,3,2,3
412,Polity,7,,1
413,Asia,2,7,2
413,China,3,2,3
413,Polity,7,,1
414,Asia,2,7,2
414,China,3,2,3
414,Polity,7,,1
415,Religious Group,8,,1
415,Indic Religious Traditions,510,8,2
415,Hinduism,566,510,3
415,Śaiva traditions,621,566,4
415,Modern Hinduism,646,566,4
416,Religious Group,8,,1
416,Christian Traditions,18,8,2
416,Slavic Religions,45,8,2
416,Orthodox/Eastern Christian,381,53,4
418,Religious Group,8,,1
418,Oceanic Religions,40,8,2
418,Melanesia,311,40,3
419,Religious Group,8,,1
419,Indic Religious Traditions,510,8,2
419,Hinduism,566,510,3
419,Vaiṣṇava Traditions,644,566,4
419,Modern Hinduism,646,566,4
420,Religious Group,8,,1
420,Indic Religious Traditions,510,8,2
420,Bhakti traditions,512,510,3
420,Hinduism,566,510,3
420,Vaiṣṇava Traditions,644,566,4
422,Religious Group,8,,1
422,Greek Religions,22,8,2
422,Hellenistic Religions,741,8,2
422,Greek Mystery Cults,745,22,3
423,Religious Group,8,,1
423,Anatolian Religions,10,8,2
423,Egyptian Religions,20,8,2
423,Greek Religions,22,8,2
423,Mithraism,36,8,2
423,Roman Religious Traditions,42,8,2
423,Roman State Religions,299,42,3
423,Republican Religions,506,299,4
423,Ancient Christianity in Rome,730,42,3
423,Diaspora Judaism in Rome,731,42,3
423,Greek Religions in Rome,733,42,3
423,Roman Private Religions,736,42,3
423,Imperial Cult (emperor worship),740,299,4
424,Religious Group,8,,1
424,Mesopotamian Religions,34,8,2
424,Zoroastrianism,49,8,2
426,Religious Group,8,,1
426,South American Religions,508,8,2
426,Chavin Religion,789,508,3
427,Asia,2,7,2
427,China,3,2,3
427,Polity,7,,1
430,Religious Group,8,,1
430,South American Religions,508,8,2
431,Religious Group,8,,1
431,Roman Religious Traditions,42,8,2
431,Roman State Religions,299,42,3
431,Republican Religions,506,299,4
431,Italic Religions,751,8,2
432,Religious Group,8,,1
432,South American Religions,508,8,2
433,Religious Group,8,,1
433,Jewish Traditions,27,8,2
433,Hellenistic Religions,741,8,2
434,Religious Group,8,,1
434,Jewish Traditions,27,8,2
434,Mesopotamian Religions,34,8,2
435,Religious Group,8,,1
435,Chinese Religion,123,8,2
436,Religious Group,8,,1
436,South American Religions,508,8,2
437,Religious Group,8,,1
437,South American Religions,508,8,2
438,Religious Group,8,,1
438,South American Religions,508,8,2
439,Religious Group,8,,1
439,Indic Religious Traditions,510,8,2
439,Indic Buddhist Traditions,513,510,3
439,Hinduism,566,510,3
439,Jain Traditions,690,510,3
440,Religious Group,8,,1
440,Jain Traditions,25,8,2
440,Digambara,291,25,3
440,Indic Religious Traditions,510,8,2
440,Jain Traditions,690,510,3
440,Jain Tantra,794,690,4
441,Religious Group,8,,1
441,Buddhist Traditions,14,8,2
441,Indic Religious Traditions,510,8,2
441,Hinduism,566,510,3
441,Hindu Śākta traditions,643,566,4
441,Bhakti traditions,645,566,4
441,Modern Hinduism,646,566,4
441,Islamic Traditions,661,510,3
441,Nepali Buddhist Traditions,795,14,3
442,Religious Group,8,,1
442,Christian Traditions,18,8,2
442,Early Christianity,742,18,3
443,Religious Group,8,,1
443,Buddhist Traditions,14,8,2
444,Religious Group,8,,1
444,Christian Traditions,18,8,2
444,Methodist,166,18,3
444,Reformed/Presbyterian/Congregational/United,181,18,3
445,Religious Group,8,,1
445,Christian Traditions,18,8,2
445,Early Christianity,742,18,3
446,Religious Group,8,,1
446,South American Religions,508,8,2
447,Religious Group,8,,1
447,South American Religions,508,8,2
448,Religious Group,8,,1
448,South American Religions,508,8,2
449,Religious Group,8,,1
449,Christian Traditions,18,8,2
449,Early Christianity,742,18,3
450,Religious Group,8,,1
450,South American Religions,508,8,2
451,Religious Group,8,,1
451,South American Religions,508,8,2
451,Inca Religion,509,508,3
453,Religious Group,8,,1
453,Buddhist Traditions,14,8,2
453,Chinese Buddhist Traditions,65,14,3
455,Religious Group,8,,1
455,Buddhist Traditions,14,8,2
455,Indian Buddhist Traditions,78,14,3
455,Sthaviravāda,85,78,4
455,Sri Lankan Buddhist Groups,752,14,3
455,Mainland Southeast Asian Buddhist Traditions,796,752,4
456,Religious Group,8,,1
456,Jewish Traditions,27,8,2
457,Religious Group,8,,1
457,African Religions,9,8,2
457,Christian Traditions,18,8,2
457,Pentecostal,180,18,3
458,Religious Group,8,,1
458,Christian Traditions,18,8,2
459,Religious Group,8,,1
459,Oceanic Religions,40,8,2
459,Melanesia,311,40,3
459,Kastom,798,311,4
460,Religious Group,8,,1
460,South American Religions,508,8,2
461,Religious Group,8,,1
461,South American Religions,508,8,2
462,Religious Group,8,,1
462,South American Religions,508,8,2
463,Religious Group,8,,1
463,South American Religions,508,8,2
464,Religious Group,8,,1
464,South American Religions,508,8,2
465,Religious Group,8,,1
465,Indic Religious Traditions,510,8,2
465,Hinduism,566,510,3
466,Religious Group,8,,1
466,Indic Religious Traditions,510,8,2
466,Hinduism,566,510,3
466,Vedic texts and school,568,566,4
466,Śruti,569,568,5
466,Brāhmaṇas,800,569,6
467,Religious Group,8,,1
467,Indic Religious Traditions,510,8,2
467,Hinduism,566,510,3
467,Vedic texts and school,568,566,4
467,Śruti,569,568,5
467,Vedasaṃhitas,571,569,6
467,Ṛgveda,572,571,7
467,Sāmaveda,576,571,7
467,Yajurveda,580,571,7
467,Atharvaveda,584,571,7
468,Religious Group,8,,1
468,African Religions,9,8,2
468,Christian Traditions,18,8,2
469,Religious Group,8,,1
469,Korean Religions,28,8,2
469,Korean New Religion,801,28,3
470,Religious Group,8,,1
470,Greek Religions,22,8,2
470,Greek Polis Religions,744,22,3
471,Religious Group,8,,1
471,Christian Traditions,18,8,2
472,Religious Group,8,,1
472,Buddhist Traditions,14,8,2
472,Tibetan Buddhist Traditions,116,14,3
472,Kagyü sect (bka’ brgyud),120,116,4
473,Religious Group,8,,1
473,Indic Religious Traditions,510,8,2
473,Hinduism,566,510,3
473,Vedic texts and school,568,566,4
473,Smṛti,570,568,5
473,Vedāṅgas,588,570,6
473,Vyākaraṇa,590,588,7
473,Nirukta,592,588,7
473,Kalpa,594,588,7
473,Śrautasūtra,595,594,8
473,Gṛhyasūtra,596,594,8
473,Darśanas,609,570,6
473,Sāṃkhya,613,609,7
473,Upaniṣads,804,568,5
474,Religious Group,8,,1
474,Indic Religious Traditions,510,8,2
474,Indic Buddhist Traditions,513,510,3
474,Nikāya Buddhism (mainstream Buddhist schools),514,513,4
474,Hinduism,566,510,3
474,Jain Traditions,690,510,3
474,Vedic Traditions,799,510,3
474,Aśoka's (Secular) Dharma,805,510,3
475,Religious Group,8,,1
475,Chinese Religion,123,8,2
475,Chinese Folk Religions,127,123,3
475,Daoist Traditions,134,123,3
475,Chinese Buddhist Traditions,383,123,3
476,Religious Group,8,,1
476,Islamic Traditions,24,8,2
476,Syncretic Religions,806,8,2
476,Vietnamese Religions,807,8,2
476,Southeast Asian Religions,808,8,2
477,Religious Group,8,,1
477,Christian Traditions,18,8,2
478,Religious Group,8,,1
478,Buddhist Traditions,14,8,2
478,Indian Buddhist Traditions,78,14,3
479,Religious Group,8,,1
479,Mesopotamian Religions,34,8,2
480,Religious Group,8,,1
480,Indic Religious Traditions,510,8,2
480,Bhakti traditions,512,510,3
480,Hinduism,566,510,3
480,Vedic texts and school,568,566,4
480,Smṛti,570,568,5
480,Dharmaśāstras,606,570,6
480,Yājñavalkyasmṛti,608,606,7
480,Vaiṣṇava Traditions,644,566,4
480,Smārta,647,566,4
481,Religious Group,8,,1
481,Native American (North American) Religions,38,8,2
482,Religious Group,8,,1
482,Mesoamerican Religions,33,8,2
483,Religious Group,8,,1
483,Christian Traditions,18,8,2
483,Catholic,153,18,3
483,'Roman' Catholic,156,153,4
484,Religious Group,8,,1
484,Christian Traditions,18,8,2
484,Anglican,146,18,3
484,Baptist,149,18,3
484,Brethren,150,18,3
484,Friends (Quakers),158,18,3
484,Methodist,166,18,3
484,Reformed/Presbyterian/Congregational/United,181,18,3
484,Evangelical (charismatic),784,18,3
485,Religious Group,8,,1
485,Circumpolar Religions,765,8,2
485,Sámi religion,767,765,3
486,Religious Group,8,,1
486,Christian Traditions,18,8,2
486,Latter Day Saints (Mormons),160,18,3
486,(The) Church of Jesus Christ of Latter-day Saints,161,160,4
487,Religious Group,8,,1
487,Mesoamerican Religions,33,8,2
488,Religious Group,8,,1
488,South American Religions,508,8,2
489,Religious Group,8,,1
489,(Afro-)Caribbean religions,811,8,2
490,Religious Group,8,,1
490,Christian Traditions,18,8,2
490,New Religious Movement,786,8,2
490,Medieval Christianity,812,18,3
490,Apocalyptic Movements,813,786,3
491,Religious Group,8,,1
491,Christian Traditions,18,8,2
491,Anglican,146,18,3
492,Religious Group,8,,1
492,Greek Religions,22,8,2
492,Roman Religious Traditions,42,8,2
492,Roman State Religions,299,42,3
492,Greek Religions in Rome,733,42,3
492,Hellenistic Religions,741,8,2
492,Italic Religions,751,8,2
493,Religious Group,8,,1
493,Indic Religious Traditions,510,8,2
493,Bhakti traditions,512,510,3
493,Hinduism,566,510,3
493,Vaiṣṇava Traditions,644,566,4
493,Gauḍīya Vaiṣṇava Sampradāya (Caitanya Vaiṣṇavism),649,644,5
493,Haridāsī Sampradāya,650,644,5
493,Nimbārka Sampradāya,653,644,5
493,Rādhāvallabha Sampradāya,654,644,5
494,Religious Group,8,,1
494,Native American (North American) Religions,38,8,2
495,Religious Group,8,,1
495,South American Religions,508,8,2
496,Religious Group,8,,1
496,(Afro-)Caribbean religions,811,8,2
497,Religious Group,8,,1
497,South American Religions,508,8,2
498,Religious Group,8,,1
498,Native American (North American) Religions,38,8,2
499,Religious Group,8,,1
499,Native American (North American) Religions,38,8,2
500,Religious Group,8,,1
500,Native American (North American) Religions,38,8,2
500,Zuni Religions,323,38,3
501,Religious Group,8,,1
501,Native American (North American) Religions,38,8,2
502,Religious Group,8,,1
502,Native American (North American) Religions,38,8,2
502,Shoshoni Religions,322,38,3
503,Religious Group,8,,1
503,Native American (North American) Religions,38,8,2
507,Religious Group,8,,1
507,Greek Religions,22,8,2
507,Greek Polis Religions,744,22,3
509,Religious Group,8,,1
509,Native American (North American) Religions,38,8,2
510,Religious Group,8,,1
510,Native American (North American) Religions,38,8,2
511,Religious Group,8,,1
511,Native American (North American) Religions,38,8,2
512,Religious Group,8,,1
512,Native American (North American) Religions,38,8,2
513,Religious Group,8,,1
513,Native American (North American) Religions,38,8,2
514,Religious Group,8,,1
514,Native American (North American) Religions,38,8,2
515,Religious Group,8,,1
515,Native American (North American) Religions,38,8,2
516,Religious Group,8,,1
516,Native American (North American) Religions,38,8,2
517,Religious Group,8,,1
517,Native American (North American) Religions,38,8,2
517,Haida,318,38,3
518,Religious Group,8,,1
518,Native American (North American) Religions,38,8,2
519,Religious Group,8,,1
519,Native American (North American) Religions,38,8,2
520,Religious Group,8,,1
520,Indic Religious Traditions,510,8,2
520,Southeast Asian Religions,808,8,2
520,Animist,836,8,2
520,Vietnam,901,8,2
520,Shaivism,1059,8,2
520,Southeast Asian Hinduism,1243,8,2
520,Hinduism,1244,8,2
520,Polytheistic,1300,8,2
522,Religious Group,8,,1
522,Native American (North American) Religions,38,8,2
524,Religious Group,8,,1
524,Native American (North American) Religions,38,8,2
525,Religious Group,8,,1
525,Christian Traditions,18,8,2
525,Latter Day Saints (Mormons),160,18,3
525,(The) Church of Jesus Christ of Latter-day Saints,161,160,4
526,Religious Group,8,,1
526,Christian Traditions,18,8,2
526,Southeast Asian Religions,808,8,2
528,Religious Group,8,,1
528,Native American (North American) Religions,38,8,2
529,Religious Group,8,,1
529,Native American (North American) Religions,38,8,2
530,Religious Group,8,,1
530,Native American (North American) Religions,38,8,2
531,Religious Group,8,,1
531,Slavic Religions,45,8,2
532,Religious Group,8,,1
532,Slavic Religions,45,8,2
533,Religious Group,8,,1
533,Japanese Religions,26,8,2
533,Slavic Religions,45,8,2
534,Religious Group,8,,1
534,Roman Religious Traditions,42,8,2
534,Roman State Religions,299,42,3
534,Imperial Cult (emperor worship),740,299,4
535,Religious Group,8,,1
535,Indic Religious Traditions,510,8,2
535,Hinduism,566,510,3
535,Śaiva traditions,621,566,4
535,Pāśupatas,622,621,5
535,Southeast Asian Religions,808,8,2
536,Religious Group,8,,1
536,Chinese Religion,123,8,2
537,Religious Group,8,,1
537,Southeast Asian Religions,808,8,2
538,Religious Group,8,,1
538,Southeast Asian Religions,808,8,2
539,Religious Group,8,,1
539,Oceanic Religions,40,8,2
539,Micronesia,314,40,3
540,Religious Group,8,,1
540,Oceanic Religions,40,8,2
541,Religious Group,8,,1
541,Oceanic Religions,40,8,2
542,Religious Group,8,,1
542,Oceanic Religions,40,8,2
542,Melanesia,311,40,3
543,Religious Group,8,,1
543,Oceanic Religions,40,8,2
543,Melanesia,311,40,3
544,Religious Group,8,,1
544,Oceanic Religions,40,8,2
544,Melanesia,311,40,3
545,Religious Group,8,,1
545,Oceanic Religions,40,8,2
546,Religious Group,8,,1
546,Oceanic Religions,40,8,2
547,Religious Group,8,,1
547,Australian Traditions,819,8,2
548,Religious Group,8,,1
